,ner,words
0,B-PRODUCT,[CLS]
1,I-PRODUCT,mage
2,O,:
3,O,title
4,O,>
5,B-PRODUCT,firms
6,I-PRODUCT,bedside
7,E-PRODUCT,table
8,O,<
9,O,/
10,O,image
11,O,:
12,O,title
13,O,>
14,O,[SEP]
0,O,[CLS]
1,O,<
2,O,image
3,O,:
4,O,capt
5,O,##ion
6,O,/
7,O,>
8,O,[SEP]
0,O,[CLS]
1,O,<
2,O,/
3,O,image
4,O,:
5,O,image
6,O,>
7,O,[SEP]
0,O,[CLS]
1,O,<
2,O,/
3,O,ur
4,O,##l
5,O,>
6,O,[SEP]
0,O,[CLS]
1,O,<
2,O,ur
3,O,##l
4,O,>
5,O,[SEP]
0,O,[CLS]
1,O,<
2,O,lo
3,O,##c
4,O,>
5,O,https
6,O,:
7,O,/
8,O,/
9,O,va
10,O,##unt
11,O,##des
12,O,##ign
13,O,.
14,O,com
15,O,/
16,O,products
17,O,/
18,O,bay
19,O,##on
20,O,-
21,O,salmon
22,O,-
23,O,pink
24,O,-
25,O,sc
26,O,##atter
27,O,-
28,O,cushion
29,O,<
30,O,/
31,O,lo
32,O,##c
33,O,>
34,O,[SEP]
0,E-PRODUCT,[CLS]
1,O,<
2,O,last
3,O,##mo
4,O,##d
5,O,>
6,O,202
7,O,##4
8,O,-
9,O,01
10,O,-
11,O,07
12,O,##t
13,O,##18
14,O,:
15,O,49
16,O,:
17,O,55
18,O,+
19,O,00
20,O,:
21,O,00
22,O,<
23,O,/
24,O,last
25,O,##mo
26,O,##d
27,O,>
28,O,[SEP]
0,E-PRODUCT,[CLS]
1,O,<
2,O,change
3,O,##fr
4,O,##e
5,O,##q
6,O,>
7,O,daily
8,O,<
9,O,/
10,O,change
11,O,##fr
12,O,##e
13,O,##q
14,O,>
15,O,[SEP]
0,O,[CLS]
1,O,<
2,O,image
3,O,:
4,O,image
5,O,>
6,O,[SEP]
0,O,[CLS]
1,O,<
2,O,image
3,O,:
4,O,lo
5,O,##c
6,O,>
7,O,https
8,O,:
9,O,/
10,O,/
11,O,cd
12,O,##n
13,O,.
14,O,shop
15,O,##ify
16,O,.
17,O,com
18,O,/
19,O,s
20,O,/
21,O,files
22,O,/
23,O,1
24,O,/
25,O,2001
26,O,/
27,O,322
28,O,##3
29,O,/
30,O,products
31,O,/
32,O,salmon
33,O,##pin
34,O,##k
35,O,##cus
36,O,##hi
37,O,##on
38,O,.
39,O,jp
40,O,##g
41,O,?
42,O,v
43,O,=
44,O,1610
45,O,##19
46,O,##9
47,O,##7
48,O,##28
49,O,<
50,O,/
51,O,image
52,O,:
53,O,lo
54,O,##c
55,O,>
56,O,[SEP]
0,B-PRODUCT,[CLS]
1,O,<
2,O,image
3,O,:
4,O,title
5,O,>
6,B-PRODUCT,bay
7,B-PRODUCT,##on
8,I-PRODUCT,salmon
9,I-PRODUCT,pink
10,I-PRODUCT,sc
11,I-PRODUCT,##atter
12,E-PRODUCT,cushion
13,O,<
14,O,/
15,O,image
16,O,:
17,O,title
18,O,>
19,I-PRODUCT,[SEP]
0,O,[CLS]
1,O,<
2,O,image
3,O,:
4,O,capt
5,O,##ion
6,O,>
7,O,salmon
8,O,pink
9,O,sc
10,O,##atter
11,O,cushion
12,O,<
13,O,/
14,O,image
15,O,:
16,O,capt
17,O,##ion
18,O,>
19,O,[SEP]
0,O,[CLS]
1,O,<
2,O,/
3,O,image
4,O,:
5,O,image
6,O,>
7,O,[SEP]
0,O,[CLS]
1,O,<
2,O,/
3,O,ur
4,O,##l
5,O,>
6,O,[SEP]
0,O,[CLS]
1,O,<
2,O,ur
3,O,##l
4,O,>
5,O,[SEP]
0,O,[CLS]
1,O,<
2,O,lo
3,O,##c
4,O,>
5,O,h
6,O,##t
7,O,[SEP]
